"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Georgia Lyman;Actress, Sound Department;1977-10-26;USA;NA
Ryan A. Shaw;Actor;NA;NA;NA
Derek Yuen;Actor;1986-08-27;USA;NA
Jackie Earle Haley;Actor, Director, Writer;1961-07-14;USA;NA
Kyle Gallner;Actor, Producer;1986-10-22;USA;NA
Rooney Mara;Actress, Producer, Soundtrack;1985-04-17;USA;NA
Katie Cassidy;Actress, Soundtrack;1986-11-25;USA;NA
Thomas Dekker;Actor, Soundtrack, Director;1987-12-28;USA;NA
Kellan Lutz;Actor, Producer, Stunts;1985-03-15;USA;NA
Clancy Brown;Actor, Soundtrack, Producer;1959-01-05;USA;NA
Connie Britton;Actress, Producer, Soundtrack;1967-03-06;USA;NA
Lia D. Mortensen;Actress;NA;NA;NA
Julianna Damm;Actress;NA;NA;NA
Christian Stolte;Actor, Soundtrack;1962-10-16;USA;NA
Katie Schooping Knight;Actress;NA;NA;NA
Hailey Schooping Knight;Actress;NA;NA;NA
Leah Uteg;Actress;NA;NA;NA
Don Robert Cass;Actor, Miscellaneous Crew;NA;NA;NA
Kurt Naebig;Actor, Director;NA;NA;NA
Kyra Krumins;Actress;NA;USA;NA
Brayden Coyer;Actor;NA;NA;NA
Max Holt;Actor;NA;NA;NA
Andrew Fiscella;Actor, Producer;1966-05-25;NA;NA
Bob Kizer;Actor;NA;NA;NA
Peter A Kelly;Actor;NA;NA;NA
Jason Brandstetter;Miscellaneous Crew, Actor;NA;NA;NA
Rob Riley;Actor, Writer, Producer;NA;NA;NA
Scott Lindvall;Actor;NA;NA;NA
Jean Arthur;Actress, Soundtrack;1900-10-17;USA;1991-06-19
James Stewart;Actor, Soundtrack, Director;1908-05-20;USA;1997-07-02
Claude Rains;Actor, Soundtrack;1889-11-10;UK;1967-05-30
Edward Arnold;Actor, Soundtrack;1890-02-18;USA;1956-04-26
Guy Kibbee;Actor, Soundtrack;1882-03-06;USA;1956-05-24
Thomas Mitchell;Actor, Writer, Soundtrack;1892-07-11;USA;1962-12-17
Eugene Pallette;Actor, Soundtrack;1889-07-08;USA;1954-09-03
Beulah Bondi;Actress, Soundtrack;1889-05-03;USA;1981-01-11
H.B. Warner;Actor;1875-10-26;UK;1958-12-21
Harry Carey;Actor, Writer, Producer;1878-01-16;USA;1947-09-21
Astrid Allwyn;Actress;1905-11-27;USA;1978-03-31
Ruth Donnelly;Actress, Soundtrack;1896-05-17;USA;1982-11-17
Grant Mitchell;Actor, Soundtrack;1874-06-17;USA;1957-05-01
Porter Hall;Actor;1888-09-19;USA;1953-10-06
Larry Simms;Actor, Soundtrack;1934-10-01;USA;2009-06-17
H.V. Kaltenborn;Actor;1878-07-09;USA;1965-06-14
Pierre Watkin;Actor;1887-12-29;USA;1960-02-03
Charles Lane;Actor, Soundtrack;1905-01-26;USA;2007-07-09
William Demarest;Actor, Soundtrack;1892-02-27;USA;1983-12-28
Dick Elliott;Actor;1886-04-30;USA;1961-12-22
Billy Watson;Actor;1923-12-25;USA;NA
Delmar Watson;Actor, Miscellaneous Crew;1926-07-01;USA;2008-10-26
John Russell;Actor;1921-01-03;USA;1991-01-19
Harry Watson;Actor;1921-08-31;USA;2001-06-08
Garry Watson;Actor;1928-09-27;USA;NA
Erville Alderson;Actor, Assistant Director;1882-09-11;USA;1957-08-04
Harry Anderson;Actor;1919-03-10;USA;1980-02-15
Stanley Andrews;Actor;1891-08-28;USA;1969-06-23
William Arnold;Actor;1884-01-06;USA;1940-07-20
Sam Ash;Actor, Soundtrack, Casting Director;1884-08-28;USA;1951-10-20
Edwin August;Actor, Director, Writer;1883-11-20;USA;1964-03-04
