"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
Tiffany Grant;Actress, Writer, Miscellaneous Crew;1968-10-11;USA;NA
Vic Mignogna;Actor, Music Department, Writer;1962-08-27;USA;NA
Monica Rial;Actress, Writer, Sound Department;1975-10-05;USA;NA
Serena Varghese;Actress, Producer;1981-10-10;USA;NA
Kira Vincent-Davis;Actress;1979;USA;NA
Stephanie Wittels;Actress;NA;NA;NA
Vimal;Actor;NA;NA;NA
Vega Tamotia;Actress, Producer;1985-05-07;India;NA
Kishore;Actor;NA;NA;NA
Sri Ram;Actor, Writer;NA;NA;NA
Pakoda Pandi;Actor;NA;NA;NA
Tharani;Actress;NA;NA;NA
V. Jayaprakash;Actor, Producer;NA;NA;NA
Sivakumar;Actor;NA;NA;NA
Sujatha;Actress;NA;NA;NA
Christos Loulis;Actor;1976-04-10;Greece;NA
Fay Ksila;Actress;1975;NA;NA
Vladimiros Kiriakidis;Actor, Director, Writer;1964;Greece;NA
Haris Mavroudis;Actor;NA;NA;NA
Fotini Baxevani;Actress, Composer, Soundtrack;1971-07-03;Greece;NA
Dimitris Piatas;Actor, Writer, Director;1951-03-10;Greece;NA
Sofia Filippidou;Actress, Writer;NA;NA;NA
Pavlos Haikalis;Actor;1949-10-30;Greece;NA
Spyros Kitsanellis;Actor;NA;NA;NA
Sofia Voyatzaki;Actress;NA;NA;NA
Kleon Gregoriadis;Actor;1965;Greece;NA
Sakis Boulas;Actor, Writer, Soundtrack;1954-03-11;NA;2014-02-21
Margarita Amarantidi;Actress;NA;NA;NA
Nikos Bournias;Actor;NA;NA;NA
Olga Dalentza;Actress;NA;NA;NA
Sergio Castellitto;Actor, Writer, Director;1953-08-18;Italy;NA
Anna Galiena;Actress;1954-12-22;Italy;NA
Alessia Fugardi;Actress;1980;Italy;NA
Silvio Vannucci;Actor;NA;NA;NA
Alessandra Panelli;Actress;1957-06-20;Italy;NA
Victor Cavallo;Actor;1947-05-08;Italy;2000-01-21
Maria Consagra;Actress;NA;NA;NA
Lidia Broccolino;Actress;1958-07-10;Italy;NA
Raffaele Vannoli;Actor;1971-07-02;Italy;NA
Giacomo Ciarrapico;Writer, Director, Actor;1971;Italy;NA
Lara Pranzoni;Actress;NA;NA;NA
Tiziana Bianchi;Actress;NA;NA;NA
Andrea Di Giacomo;Actor;NA;NA;NA
Marco Coda;Actor;NA;NA;NA
Giuseppe Giordani;Actor, Soundtrack;NA;NA;NA
Gigi Reder;Actor;1928-03-25;Italy;1998-10-08
Armando De Razza;Actor;1955-05-24;Italy;NA
Laura Betti;Actress, Director, Writer;1927-05-01;Italy;2004-07-31
Francesco Siciliano;Actor, Writer, Producer;1968;Italy;NA
Steven Geray;Actor;1904-11-10;Ukraine];1973-12-26
Micheline Cheirel;Actress;1917-04-12;France;2002-10-25
Eugene Borden;Actor;1897-03-21;France;1971-07-21
Ann Codee;Actress, Soundtrack;1890-03-05;Belgium;1961-05-18
Egon Brecher;Actor;1880-02-16;Czech Republic];1946-08-12
Helen Freeman;Actress;1886-08-03;USA;1960-12-25
Brother Theodore;Actor, Writer;1906-11-11;Germany;2001-04-05
Gregory Gaye;Actor, Soundtrack;1900-10-10;Russia;1993-08-23
Jean Del Val;Actor;1891-11-17;France;1975-03-13
Emil Rameau;Actor, Writer;1888-08-13;Germany;1957-09-09
Paul Marion;Actor;1915-09-12;USA;2011-09-08
Louis Mercier;Actor, Soundtrack;1901-03-07;Algeria;1993-03-25
Frank Arnold;Actor;NA;NA;NA
Nanette Bordeaux;Actress;1911-04-03;Canada;1956-09-20
Cynthia Caylor;Actress;NA;NA;NA
Marcelle Corday;Actress;1890-01-08;Belgium;1971-06-25
Adrienne D'Ambricourt;Actress, Soundtrack;1878-06-02;France;1957-12-06
Andre Marsaudon;Actor;1885-07-09;France;1961
Alphonse Martell;Actor, Director, Writer;1890-03-27;France];1976-03-18
Billy Snyder;Actor, Soundtrack;1905-01-05;USA;1987-11
Esther Zeitlin;Actress;NA;NA;NA
Kai Lehtinen;Actor, Director, Writer;1958-07-31;Finland;NA
Hannu-Pekka Björkman;Actor, Director;1969-02-11;Finland;NA
Tommi Korpela;Actor, Writer, Director;1968-08-23;Finland;NA
Ilkka Heiskanen;Actor, Writer, Director;1962-01-11;Finland;NA
Konsta Pöyliö;Actor;NA;NA;NA
Aake Kalliala;Actor, Writer, Soundtrack;1950-10-05;Finland;NA
Kati Outinen;Actress, Writer;1961-08-17;Finland;NA
Juhani Niemelä;Actor;1941-06-17;Finland;NA
Maria Aro;Actress;1942-04-08;Finland;NA
Topi Castrén;Actor;NA;NA;NA
Teuvo Kalliola;Actor;NA;NA;NA
Tapio Kauppi;Actor;NA;NA;NA
Janne Kinnunen;Actor;1974-07-25;Finland;NA
Seppo Mervia;Actor;NA;NA;NA
Tatu Mönttinen;Actor;NA;NA;NA
Tommi Raitolehto;Actor;1970-10-16;Finland;NA
Kirikou Rajala;Actor;NA;NA;NA
Riku Räisänen;Actor;NA;NA;NA
Tuire Salenius;Actress;1950-12-16;Finland;NA
Ursula Salo;Actress;NA;NA;NA
Kari Suhonen;Actor;NA;NA;NA
Oili Taipale;Actress;NA;NA;NA
Vesa Vierikko;Actor, Writer, Director;1956-05-24;Finland;NA
Marja-Liisa Väyrynen;Actress;NA;NA;NA
Weeti Väyrynen;Actor;NA;NA;NA
Kari Väänänen;Actor, Writer, Director;1953-09-17;Finland;NA
Randolph Scott;Actor, Producer, Miscellaneous Crew;1898-01-23;USA;1987-03-02
James Craig;Actor, Soundtrack, Writer;1912-02-04;USA;1985-06-28
Angie Dickinson;Actress, Soundtrack;1931-09-30;USA;NA
Dani Crayne;Actress, Soundtrack;1934-12-25;USA;NA
James Garner;Actor, Producer, Soundtrack;1928-04-07;USA;2014-07-19
Gordon Jones;Actor, Soundtrack, Stunts;1911-04-05;USA;1963-06-20
Trevor Bardette;Actor;1902-11-19;USA;1977-11-28
Don Beddoe;Actor;1903-07-01;USA;1991-01-19
Myron Healey;Actor, Writer;1923-06-08;USA;2005-12-21
John Alderson;Actor, Soundtrack;1916-04-10;UK;2006-08-04
Harry Harvey;Actor;1901-01-10;USA];1985-11-27
Robert Warwick;Actor, Producer;1878-10-09;USA;1964-06-06
George Bell;Actor;1898-10-09;USA;1969-10-02
Richard Bellis;Composer, Actor, Music Department;1946-04-03;USA;NA
Marjorie Bennett;Actress, Soundtrack;1896-01-15;Australia;1982-06-14
Lane Bradford;Actor, Stunts;1922-08-29;USA;1973-06-07
Marshall Bradford;Actor;1885-01-19;USA;1971-01-11
Chet Brandenburg;Actor, Assistant Director, Stunts;1897-10-15;USA;1974-07-17
Dee Carroll;Actress;1925-12-02;USA;1980-04-28
Fred Carson;Actor, Stunts, Assistant Director;1923-11-05;USA;2001-07-31
Tom Coleman;Actor, Miscellaneous Crew;1897-01-12;USA;1959-01-28
Charles Vernon David Cypert;Actor, Stunts;1925-12-26;USA;2001-12-17
William Monroe Cypert;Actor, Stunts;1927-12-13;USA;1983-06-27
Ann Doran;Actress, Miscellaneous Crew, Soundtrack;1911-07-28;USA;2000-09-19
Jesslyn Fax;Actress;1893-01-02;Canada;1975-02-16
Sam Flint;Actor;1882-10-19;USA;1980-10-17
Michael Forest;Actor, Miscellaneous Crew;1929-04-17;USA;NA
Herman Hack;Actor;1899-06-15;USA;1967-10-19
Chick Hannan;Actor, Stunts, Miscellaneous Crew;1901-05-24;USA;1980-08-14
Gianluca Di Gennaro;Actor;1990-12-03;Italy;NA
Carmine Recano;Actor;1980-11-28;Italy;NA
Arturo Paglia;Actor, Producer;1970-04-28;Italy;NA
Sergio Solli;Actor;NA;NA;NA
Rolando Ravello;Actor, Director, Writer;NA;NA;NA
Mario Giordano;Actor;NA;NA;NA
Nuccia Fumo;Actress;1917;Italy;2005-09-21
Marcello Romolo;Actor;NA;NA;NA
Terence Guida;Actor;NA;NA;NA
Miriam Candurro;Actress;NA;NA;NA
Alessandro Guasco;Actor;NA;NA;NA
Gennaro Mirto;Actor;NA;NA;NA
Patrizio Rispo;Actor;NA;NA;NA
Maria Laura Rondanini;Actress;1965-10-01;Italy;NA
Paul Naschy;Actor, Writer, Director;1934-09-06;Spain;2009-11-30
Julia Saly;Actress, Producer, Soundtrack;NA;NA;NA
Lola Gaos;Actress;1921-12-02;Spain;1993-07-04
Silvia Miró;Actress;NA;NA;NA
Frances Ondiviela;Actress, Soundtrack;1962-05-19;Spain;NA
Manuel Zarzo;Actor, Assistant Director;1932-04-26;Spain;NA
José Vivó;Actor;1916-05-19;Spain;1989-07-26
Charly Bravo;Actor;1943-03-06;Morocco;NA
José Sacristán;Stunts, Actor, Miscellaneous Crew;NA;NA;NA
Salvador Sáinz;Actor, Writer, Producer;1950-04-21;Spain;NA
Héctor Cantolla;Actor, Miscellaneous Crew;1946;Spain;NA
Teresa del Olmo;Actress, Producer, Soundtrack;NA;NA;NA
Ángela González;Actress, Miscellaneous Crew;NA;NA;NA
Carole Kirkham;Actress;NA;NA;NA
María Romero;Actress, Miscellaneous Crew, Producer;1929-03-21;Spain;2015-02-04
María Luisa Rubio;Actress, Miscellaneous Crew;1940-01-26;Spain;2005-08-22
Charles Durning;Actor, Soundtrack, Miscellaneous Crew;1923-02-28;USA;2012-12-24
Alessandro Rabelo;Actor;NA;NA;NA
Ajay Naidu;Actor, Director, Writer;1972-02-12;USA;NA
Divana Brandao;Actress;NA;NA;NA
Peter Horton;Actor, Producer, Director;1953-08-20;USA;NA
Castulo Guerra;Actor;1945-08-24;Argentina;NA
Conchata Ferrell;Actress, Soundtrack;1943-03-28;USA;NA
Dana Delany;Actress, Producer, Soundtrack;1956-03-13;USA;NA
Chico Díaz;Actor, Assistant Director, Producer;1959-02-16;Mexico;NA
Marcelo Rabelo;Actor;NA;NA;NA
Ariel Coelho;Actor;1951;Brazil;1999-06-28
Paulo Sergio Oliveira;Actor;NA;NA;NA
Mario Borges;Actor;NA;NA;NA
François Thijm;Actor;NA;NA;NA
Geraldo Salles;Actor;NA;NA;NA
Sandro Soviatt;Actor;NA;NA;NA
Raimundo Carvalho;Actor;NA;NA;NA
Jose Ricardo Matos;Actor;NA;NA;NA
David C. Russel;Actor;NA;NA;NA
Telmo Maia;Producer, Production Manager, Actor;NA;NA;NA
Paulo Quindere;Actor, Miscellaneous Crew;NA;NA;NA
Orhan Aydin;Actor;NA;NA;NA
Bedri Baykam;Actor;NA;NA;NA
Meltem Berent;Actress;NA;NA;NA
Gönen Bozbey;Actress;NA;NA;NA
Mete Dönmezer;Actor;1947;Turkey;NA
Hikmet Karagöz;Actor;1946-12-31;Turkey;NA
Tuncel Kurtiz;Actor, Writer, Director;1936-02-01;Turkey;2013-09-27
Tuncer Necmioglu;Actor;1936-12-17;Turkey;2006-08-20
Okay Senol;Actor;NA;NA;NA
Mümtaz Sevinç;Actor;1952-02-09;Turkey;2006-01-24
Sefa Sezgin;Actor;NA;NA;NA
Berhan Simsek;Actor;1957-11-01;NA;NA
Riza Sonmez;Actor;1968-11-26;Turkey;NA
Suavi;Actor;NA;NA;NA
Ugur Tasdemir;Actor;1965-10-20;Turkey;NA
Ferhat Tunç;Actor;NA;NA;NA
Ali Tutal;Actor;1950;Turkey;NA
Metin Yildirim;Actor;1968-05-23;Turkey;NA
Mazlum Çimen;Composer, Actor, Music Department;NA;NA;NA
Bülent Çolak;Actor;NA;NA;NA
Bengi Heval Öz;Actress;NA;NA;NA
Himesh Reshammiya;Composer, Soundtrack, Music Department;1973-07-23;India;NA
Sonal Sehgal;Actress;1981-07-13;India;NA
Purbi Joshi;Actress, Music Department;NA;NA;NA
Rajesh Khattar;Actor, Writer;NA;NA;NA
Ruzaan Bharucha;Actor;NA;NA;NA
Ashwin Dhar;Actor;NA;NA;NA
Eishaan;Actor;NA;NA;NA
Abir Goswami;Actor;1976;India;2013-05-31
Bharti Khandare;Actress;NA;NA;NA
Krupa Pancholi;Actress;NA;NA;NA
Lily Patel;Actress;NA;NA;NA
Ram Upadhayay;Actor;NA;NA;NA
Nisha V.;Actress;NA;NA;NA
Avinash Chand Wadkar;Actor;NA;NA;NA
Alberto Dalbés;Actor;1922-04-03;Argentina;1983-09-14
Dennis Price;Actor;1915-06-23;UK;1973-10-06
Howard Vernon;Actor, Camera Department, Miscellaneous Crew;1908-07-15;Switzerland;1996-07-25
